Artist,Title,Medium,Year,Url,Image,Image_url,Image_stem
Matt Adnate,Rhythms of heritage,spray paint and synthetic polymer paint on linen,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30629/,SID101363M.jpg.763x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101363M.jpg.763x900_q85.jpg,SID101363M.jpg.763x900_q85.jpg
Holly Anderson,Not not a mother,oil on aluminium panel,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30630/,SID101374M.jpg.600x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101374M.jpg.600x900_q85.jpg,SID101374M.jpg.600x900_q85.jpg
Jill Ansell,Pericles: just scratching the surface,oil on board and assemblage in found tin,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30631/,SID101367trim.jpg.800x560_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101367trim.jpg.800x560_q85.jpg,SID101367trim.jpg.800x560_q85.jpg
Mostafa Azimitabar,Angus McDonald,oil on linen,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30632/,SID101389M.jpg.722x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101389M.jpg.722x900_q85.jpg,SID101389M.jpg.722x900_q85.jpg
Eliza Bertwistle,Chanel Contos (smiling feminist),oil on board,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30633/,SID101368M.jpg.662x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101368M.jpg.662x900_q85.jpg,SID101368M.jpg.662x900_q85.jpg
Drew Bickford,Direct-to-video,oil on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30634/,SID101344M.jpg.608x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101344M.jpg.608x900_q85.jpg,SID101344M.jpg.608x900_q85.jpg
Natasha Bieniek,Self-portrait with Florence,oil on wood,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30635/,SID101353M.jpg.800x584_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101353M.jpg.800x584_q85.jpg,SID101353M.jpg.800x584_q85.jpg
Karen Black,Vivian Vidulich,oil on polyester,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30636/,SID101398M.jpg.749x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101398M.jpg.749x900_q85.jpg,SID101398M.jpg.749x900_q85.jpg
Mia Boe,Toe Knee Arm Strong,synthetic polymer paint and oil on linen,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30637/,SID101358M.jpg.619x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101358M.jpg.619x900_q85.jpg,SID101358M.jpg.619x900_q85.jpg
Jessie Bourke,"Different, not less",oil on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30638/,SID101346M.jpg.622x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101346M.jpg.622x900_q85.jpg,SID101346M.jpg.622x900_q85.jpg
Janis Clarke,Beckah in the studio,oil on linen,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30639/,SID101362M.jpg.800x620_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101362M.jpg.800x620_q85.jpg,SID101362M.jpg.800x620_q85.jpg
Emily Crockford,Singing with my selfie at the top of the world with my imagination,synthetic polymer paint on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30640/,SID101397M.jpg.719x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101397M.jpg.719x900_q85.jpg,SID101397M.jpg.719x900_q85.jpg
